planet_name,star_name,discovery_method,discovery_year,orbital_period_days,planet_radius_earth,planet_mass_earth,equilibrium_temp_k,distance_lightyears,num_stars,num_planets
11 Com b,11 Com,Radial Velocity,2007.0,323.21,12.2,4914.89848585,803.26,93.1846,2,1
11 UMi b,11 UMi,Radial Velocity,2009.0,516.21997,12.3,4684.8142,896.43,125.321,1,1
14 And b,14 And,Radial Velocity,2008.0,186.76,13.1,1131.15130051,909.92,75.4392,1,1
14 Her b,14 Her,Radial Velocity,2002.0,1766.41,12.5,2828.6728223,147.32,17.9323,1,2
16 Cyg B b,16 Cyg B,Radial Velocity,1996.0,798.5,13.5,565.7374,228.76,21.1397,3,1
17 Sco b,17 Sco,Radial Velocity,2020.0,578.38,12.9,1373.01871824,847.51,124.953,1,1
18 Del b,18 Del,Radial Velocity,2008.0,982.85,12.5,2926.24614325,452.72,76.222,2,1
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008.0,10.671380845,18.647,3000.0,1700.0,139.135,1,1
24 Boo b,24 Boo,Radial Velocity,2018.0,30.33,13.9,280.64248338,1840.86,95.9863,1,1
24 Sex b,24 Sex,Radial Velocity,2010.0,452.8,13.4,632.46,471.32,72.0691,1,2
24 Sex c,24 Sex,Radial Velocity,2010.0,883.0,13.9,273.32,377.31,72.0691,1,2
2M0437 b,2MASS J04372171+2651014,Imaging,2021.0,10.671380845,13.0,1271.313628,1450.0,128.484,1,1
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013.0,10.671380845,12.3,4131.79,757.0,47.2,2,1
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013.0,10.671380845,11.209,7786.5,1600.0,33.8281,1,1
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015.0,10.671380845,16.14096,4417.837,6.27,40.08964117,1,1
2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,2018.0,10.671380845,17.37392009,3616.88727166,1723.0,66.0613,2,1
2MASS J03590986+2009361 b,2MASS J03590986+2009361,Imaging,2024.0,10.671380845,12.2,5720.911326,2369.0,117.435,1,1
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010.0,10.671380845,12.6,2383.6,17.6,120.42398696,1,1
2MASS J11011926-7732383 b,2MASS J11011926-7732383,Imaging,2024.0,10.671380845,11.9,8899.195396,2677.0,366.987,1,1
2MASS J11550485-7919108 b,2MASS J11550485-7919108,Imaging,2024.0,10.671380845,12.1,6356.56814,2506.0,100.862,1,1
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004.0,10.671380845,15.69257298,1652.7077164,1163.0,64.308,1,1
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015.0,406.0,13.4,603.877,669.65,396.332,2,3
2MASS J21252752-8138278 b,2MASS J21252752-8138278,Imaging,2024.0,10.671380845,12.4,3813.940884,1616.0,34.1154,1,1
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016.0,10.671380845,12.3,3972.875,10.3,69.5737,1,1
2MASS J22501512+2325342 b,2MASS J22501512+2325342,Imaging,2018.0,10.671380845,11.9,9534.85221,1600.0,57.2309,1,1
4 UMa b,4 UMa,Radial Velocity,2006.0,270.27,12.6,2511.48007211,967.44,73.4603,1,1
47 UMa b,47 UMa,Radial Velocity,1996.0,1078.0,13.2,804.08,215.23,13.7967,1,3
47 UMa c,47 UMa,Radial Velocity,2001.0,2391.0,14.2,171.621,164.38,13.7967,1,3
47 UMa d,47 UMa,Radial Velocity,2009.0,14002.0,13.5,521.22,91.58,13.7967,1,3
51 Peg b,51 Peg,Radial Velocity,1995.0,4.230785,14.3,146.2018,1311.39,15.4614,1,1
55 Cnc B b,55 Cnc B,Radial Velocity,2025.0,6.7994,1.69,3.5,395.41,12.4773,2,7
55 Cnc B c,55 Cnc B,Radial Velocity,2025.0,33.747,2.16,5.3,230.04,12.4773,2,7
55 Cnc b,55 Cnc,Radial Velocity,1996.0,14.651552,13.9,263.9785,700.0,12.5855,2,7
55 Cnc c,55 Cnc,Radial Velocity,2004.0,44.3936,8.51,54.4738,499.27,12.5855,2,7
55 Cnc d,55 Cnc,Radial Velocity,2002.0,4799.0,13.0,1232.493,104.85,12.5855,2,7
55 Cnc e,55 Cnc,Radial Velocity,2004.0,0.7365474,1.875,7.99,1958.0,12.5855,2,7
55 Cnc f,55 Cnc,Radial Velocity,2007.0,260.58,7.59,44.812,277.07,12.5855,2,7
6 Lyn b,6 Lyn,Radial Velocity,2008.0,919.86,13.4,597.83523357,371.86,54.6599,1,1
61 Vir b,61 Vir,Radial Velocity,2009.0,4.215,2.11,5.1,1177.85,8.50332,1,3
61 Vir c,61 Vir,Radial Velocity,2009.0,38.021,4.46,18.2,565.87,8.50332,1,3
61 Vir d,61 Vir,Radial Velocity,2009.0,123.01,5.11,22.9,382.51,8.50332,1,3
